OP;Ref;Coleccion;UndProg;UndCort;FechaCorte;Estado de integracion;Bodega Despacho;InvPlanta;NombrePlanta;FSalidaConf;FEntregaConf;Proceso;InvBPT;Saldo BPT;Descripcion;Cuento;Genero;Tipo Tejido; pvp ; TEMPLO DE LA MODA ; BARRANCA ; VALOR FACTURACION  
5479;U24489;MODA UNIVERSO 2026 1;204;310;24/03/2026;No;0;310;GUTIERREZ MONDRAGON EDUARD LUIS;08-abr-26;23-abr-26;CONFECCION;0;310;LEGGINS;DEPORTIVO;DAMA;NA; $ 49.990 ; $ 20.459 ; $ 18.085 ; $ 6.121.508 
5480;U24272;MODA UNIVERSO 2026 1;204;108;28/03/2026;No;0;108;QUINTERO ARBOLEDA MAIRA ALEJANDRA;10-abr-26;17-abr-26;CONFECCION;0;108;LEGGINS;DEPORTIVO;DAMA;NA; $ 45.990 ; $ 18.782 ; $ 16.603 ; $ 1.957.856 
5481;U24491;MODA UNIVERSO 2025;182;112;28/03/2026;No;0;112;VIVEROS VILLANUEVA ANYELLA;08-abr-26;20-abr-26;CONFECCION;0;112;CONJUNTOS;DEPORTIVO;DAMA;NA; $ 59.990 ; $ 26.454 ; $ 23.385 ; $ 2.859.730 
5482;U24522;MODA UNIVERSO 2026 1;216;214;22/03/2026;No;0;214;MARTINEZ RODAS FRANCY ELENA;31-mar-26;23-abr-26;CONFECCION;0;214;CAMISAS;URBANO;HOMBRE;NA; $ 75.990 ; $ 34.766 ; $ 30.733 ; $ 7.181.005 
5483;U24598;MODA UNIVERSO 2026 1;204;204;27/03/2026;Ok;204;0;;;;;0;204;CAMISAS;URBANO;HOMBRE;NA; $ 65.990 ; $ 29.525 ; $ 26.100 ; $ 5.813.490 
5484;U24557;MODA UNIVERSO 2026 1;504;508;30/03/2026;Ok;508;0;;;;;0;508;SUDADERA;DEPORTIVO;DAMA;NA; $ 49.990 ; $ 19.577 ; $ 17.306 ; $ 9.599.016 
5485;MV2203;LINEA UNIVERSO;576;492;22/03/2026;No;0;492;RIOS ZAMBRANO NATALY ANDREA;31-mar-26;16-abr-26;CONFECCION;0;492;VESTIDOS;MODAFRESCA;DAMA;PLANO; $ 39.900 ; $ 17.743 ; $ 15.685 ; $ 8.425.795 
5486;MV2203;LINEA UNIVERSO;528;594;22/03/2026;No;0;594;RIOS ZAMBRANO NATALY ANDREA;31-mar-26;16-abr-26;CONFECCION;0;594;VESTIDOS;MODAFRESCA;DAMA;PLANO; $ 39.900 ; $ 17.743 ; $ 15.685 ; $ 10.172.606 
5487;U24578;MODA UNIVERSO 2026 1;300;280;26/03/2026;No;0;0;;;;;0;280;SUDADERA;DEPORTIVO;HOMBRE;NA; $ 49.990 ; $ 20.822 ; $ 18.407 ; $ 5.627.300 
5488;U24578;MODA UNIVERSO 2026 1;300;245;28/03/2026;Ok;245;0;;;;;0;245;SUDADERA;DEPORTIVO;HOMBRE;NA; $ 49.990 ; $ 20.822 ; $ 18.407 ; $ 4.923.888 
5489;MF5275;MODA UNIVERSO 2026 1;198;192;26/03/2026;No;0;0;;;;;0;192;FALDAS;MODAFRESCA;DAMA;NA; $ 62.990 ; $ 26.423 ; $ 23.358 ; $ 4.896.672 
5490;806576;MODA UNIVERSO 2026 1;200;95;06/04/2026;Ok;95;0;;;;;0;95;BLUSAS;BASICO;DAMA;NA; $ 49.990 ; $ 20.376 ; $ 18.012 ; $ 1.868.346 
5491;MS0417;MODA UNIVERSO 2026 1;504;536;22/03/2026;No;0;0;;;;;0;536;SHORT;MODAFRESCA;DAMA;NA; $ 49.990 ; $ 20.963 ; $ 17.823 ; $ 10.731.256 
5492;MB7714;MODA UNIVERSO 2026 1;180;95;06/04/2026;Ok;95;0;;;;;0;95;BLUSAS;MODAFRESCA;DAMA;NA; $ 49.990 ; $ 21.428 ; $ 18.942 ; $ 1.964.809 
5493;MB7700;MODA UNIVERSO 2026 1;400;430;31/03/2026;No;0;430;TOLE CRUZ LISANDRA;14-abr-26;29-abr-26;CONFECCION;0;430;BLUSAS;MODAFRESCA;DAMA;NA; $ 26.990 ; $ 9.800 ; $ 8.663 ; $ 4.067.327 
5494;MB7700;MODA UNIVERSO 2026 1;400;630;31/03/2026;Ok;630;0;;;;;0;630;BLUSAS;MODAFRESCA;DAMA;NA; $ 26.990 ; $ 9.800 ; $ 8.663 ; $ 5.959.107 
5495;MB7530;MODA UNIVERSO 2026 1;210;200;30/03/2026;No;0;200;GALLEGO MATALLANA ANDRES SANTIAGO;10-abr-26;30-abr-26;CONFECCION;0;200;CHALECOS;MODAFRESCA;DAMA;NA; $ 49.990 ; $ 20.230 ; $ 17.883 ; $ 3.905.180 
5496;MB7542;MODA UNIVERSO 2026 1;210;210;01/04/2026;No;0;210;TABARES AGUIRRE KELLY DANIELA;13-abr-26;30-abr-26;CONFECCION;0;210;BLUSAS;MODAFRESCA;DAMA;NA; $ 29.990 ; $ 12.734 ; $ 11.257 ; $ 2.581.089 
5497;806543;MODA UNIVERSO 2026 1;216;234;30/03/2026;No;0;234;CASTILLO CASTILLO OMAIRA TATIANA;13-abr-26;30-abr-26;CONFECCION;0;234;BLUSAS;BASICO;DAMA;NA; $ 39.990 ; $ 16.064 ; $ 14.201 ; $ 3.628.193 
