OP;Ref;Coleccion;UndProg;UndCort;FechaCorte;Estado de integracion;Bodega Despacho;InvPlanta;NombrePlanta;FSalidaConf;FEntregaConf;Proceso;InvBPT;Saldo BPT;Descripcion;Cuento;Genero;Tipo Tejido; pvp ; TEMPLO DE LA MODA ; BARRANCA ; VALOR FACTURACION  
5553;DD0001;LINEA UNIVERSO;300;310;26/03/2026;No;0;310;HERNANDEZ RAMIREZ NATIA GINARY;26-mar-26;20-abr-26;CONFECCION;0;310;PANTALONETA PROMOCIO;DEPORTIVO;HOMBRE;PLANO; $ 39.990 ; $ 17.768 ; $ 15.707 ; $ 5.316.407 
5554;DD0001;LINEA UNIVERSO;370;320;26/03/2026;No;0;320;HERNANDEZ RAMIREZ NATIA GINARY;26-mar-26;13-abr-26;CONFECCION;0;320;PANTALONETA PROMOCIO;DEPORTIVO;HOMBRE;PLANO; $ 39.990 ; $ 17.768 ; $ 15.707 ; $ 5.487.904 
5555;MV2624;MODA UNIVERSO 2026 1;204;198;31/03/2026;No;0;198;YELA ORTEGA MARIA VICTORIA;14-abr-26;06-may-26;CONFECCION;0;198;VESTIDOS;MODAFRESCA;DAMA;NA; $ 86.990 ; $ 36.094 ; $ 31.907 ; $ 6.897.904 
5556;120359;MODA UNIVERSO 2025;306;306;30/03/2026;No;0;0;;;;;0;306;FALDA SHORT;BASICO;DAMA;PLANO; $ 54.900 ; $ 20.969 ; $ 18.536 ; $ 6.193.165 
5557;805940;MODA UNIVERSO 2026 1;204;174;30/03/2026;No;0;174;GONZALEZ ARAGON TATIANA;14-abr-26;20-abr-26;RESORTADO;0;174;BLUSAS;BASICO;DAMA;NA; $ 43.990 ; $ 17.535 ; $ 15.501 ; $ 2.944.915 
5558;MF5272;MODA UNIVERSO 2026 1;204;0;;No;0;0;;;;;0;0;FALDAS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 24.909 ; $ 22.019 ; $ -   
5559;CJ0236;MODA UNIVERSO 2026 1;200;276;31/03/2026;No;0;0;;;;;0;276;CONJUNTOS;BASICO;DAMA;NA; $ 69.990 ; $ 28.625 ; $ 25.305 ; $ 7.625.604 
5560;FS1338;MODA UNIVERSO 2026 1;340;520;25/03/2026;No;0;520;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;520;FALDA SHORT;ESPECIALES;DAMA;NA; $ 79.990 ; $ 39.122 ; $ 34.639 ; $ 19.644.092 
5561;FS1339;MODA UNIVERSO 2026 1;320;320;22/03/2026;No;0;320;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;320;FALDA SHORT;ESPECIALES;DAMA;NA; $ 79.990 ; $ 40.090 ; $ 35.496 ; $ 12.387.776 
5562;ME1260;MODA UNIVERSO 2026 1;200;144;30/03/2026;No;0;144;MARTINEZ BADOS OVEIMAR;13-abr-26;24-abr-26;RESORTADO;0;144;ENTERIZO;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 24.191 ; $ 21.385 ; $ 3.362.285 
5563;FS1340;MODA UNIVERSO 2026 1;340;350;25/03/2026;No;0;350;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;350;FALDA SHORT;ESPECIALES;DAMA;NA; $ 79.990 ; $ 39.616 ; $ 35.077 ; $ 13.389.005 
5564;S11160;MODA UNIVERSO 2026 1;700;580;25/03/2026;No;0;580;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;580;BERMUDAS;ESPECIALES;DAMA;NA; $ 79.990 ; $ 40.322 ; $ 35.702 ; $ 22.582.880 
5565;700823;MODA UNIVERSO 2026 1;210;201;30/03/2026;No;0;0;;;;;0;201;PANTALONES;BASICO;DAMA;NA; $ 65.990 ; $ 28.628 ; $ 25.307 ; $ 5.553.972 
5566;S11161;MODA UNIVERSO 2026 1;740;590;24/03/2026;No;0;590;G & H DENIM TEX S.A.S;26-mar-26;27-abr-26;CONFECCION;0;590;BERMUDAS;ESPECIALES;DAMA;NA; $ 79.990 ; $ 40.322 ; $ 35.702 ; $ 22.972.240 
5567;5028LB;LINEA UNIVERSO;492;547;27/03/2026;No;0;547;RIOS ZAMBRANO NATALY ANDREA;14-abr-26;30-abr-26;CONFECCION;0;547;PANTALONES;BASICO;DAMA;PLANO; $ 49.990 ; $ 22.241 ; $ 19.661 ; $ 11.742.449 
5568;5028LB;LINEA UNIVERSO;468;525;01/04/2026;No;0;525;RIOS ZAMBRANO NATALY ANDREA;14-abr-26;07-may-26;CONFECCION;0;525;PANTALONES;BASICO;DAMA;PLANO; $ 49.990 ; $ 22.241 ; $ 19.661 ; $ 11.270.175 
5569;804600;LINEA UNIVERSO;371;378;30/03/2026;No;0;378;BENITEZ ESCOBAR KERLI PIEDAD;08-abr-26;24-abr-26;CONFECCION;0;378;SOBREPUESTOS;BASICO;DAMA;PUNTO; $ 29.990 ; $ 10.021 ; $ 8.858 ; $ 3.656.054 
5570;5028LB;LINEA UNIVERSO;414;444;28/03/2026;No;0;444;RIOS ZAMBRANO NATALY ANDREA;14-abr-26;07-may-26;CONFECCION;0;444;PANTALONES;BASICO;DAMA;PLANO; $ 49.990 ; $ 22.241 ; $ 19.661 ; $ 9.531.348 
5571;804600;LINEA UNIVERSO;315;401;28/03/2026;No;0;401;MARQUEZ MORALES SORELYS  ANDREA;07-abr-26;20-abr-26;CONFECCION;0;401;SOBREPUESTOS;BASICO;DAMA;PUNTO; $ 29.990 ; $ 10.021 ; $ 8.858 ; $ 3.878.512 
5572;GB0050;LINEA UNIVERSO;500;569;28/03/2026;No;0;569;FLOY  ELIZABETH;08-abr-26;17-abr-26;CONFECCION;0;569;BLUSAS;BOGOTA;DAMA;PUNTO; $ 19.900 ; $ 7.900 ; $ 6.984 ; $ 4.338.739 
5573;GB0050;LINEA UNIVERSO;480;590;31/03/2026;No;0;590;FLOY  ELIZABETH;08-abr-26;20-abr-26;CONFECCION;0;590;BLUSAS;BOGOTA;DAMA;PUNTO; $ 19.900 ; $ 7.900 ; $ 6.984 ; $ 4.498.868 
5574;805543;MODA UNIVERSO 2026 1;1.204;1.204;26/03/2026;No;0;1204;POWERTEX S.A.S;26-mar-26;17-abr-26;CONFECCION;0;1.204;BLUSAS;BOGOTA;DAMA;NA; $ 19.990 ; $ 9.172 ; $ 8.109 ; $ 10.659.132 
5575;805543;MODA UNIVERSO 2026 1;1.232;1.246;30/03/2026;Ok;1246;1246;AGUDELO REY DIANA PATRICIA;10-abr-26;30-abr-26;CONFECCION;0;1.246;BLUSAS;BOGOTA;DAMA;NA; $ 19.990 ; $ 9.172 ; $ 8.109 ; $ 11.030.963 
5576;805543;MODA UNIVERSO 2026 1;1.232;1.246;26/03/2026;No;0;1246;CORREDOR CAÑON MANUEL ANTONIO;26-mar-26;17-abr-26;CONFECCION;0;1.246;BLUSAS;BOGOTA;DAMA;NA; $ 19.990 ; $ 9.172 ; $ 8.109 ; $ 11.030.963 
5577;GC6139;MODA UNIVERSO 2026 1;1.166;1.166;26/03/2026;No;0;1166;OLIVEROS FIGUEREDO OSMAR IBAN;26-mar-26;17-abr-26;CONFECCION;0;1.166;CAMISETAS;BOGOTA;HOMBRE;NA; $ 22.990 ; $ 11.054 ; $ 9.771 ; $ 12.440.171 
5578;GC6139;MODA UNIVERSO 2026 1;902;935;26/03/2026;No;0;935;AGUDELO REY DIANA PATRICIA;26-mar-26;17-abr-26;CONFECCION;0;935;CAMISETAS;BOGOTA;HOMBRE;NA; $ 22.990 ; $ 11.054 ; $ 9.771 ; $ 9.975.609 
5579;GC6139;MODA UNIVERSO 2026 1;968;902;26/03/2026;No;0;902;ERASO VARGAS ANA JANNIN;30-mar-26;15-abr-26;CONFECCION;0;902;CAMISETAS;BOGOTA;HOMBRE;NA; $ 22.990 ; $ 11.054 ; $ 9.771 ; $ 9.623.528 
5580;805543;MODA UNIVERSO 2026 1;1.204;1.148;30/03/2026;Ok;1148;1148;CORREDOR CAÑON MANUEL ANTONIO;10-abr-26;30-abr-26;CONFECCION;0;1.148;BLUSAS;BOGOTA;DAMA;NA; $ 19.990 ; $ 9.172 ; $ 8.109 ; $ 10.163.359 
5581;805543;MODA UNIVERSO 2026 1;1.232;1.288;30/03/2026;Ok;1288;1288;OLIVEROS FIGUEREDO OSMAR IBAN;10-abr-26;30-abr-26;CONFECCION;0;1.288;BLUSAS;BOGOTA;DAMA;NA; $ 19.990 ; $ 9.172 ; $ 8.109 ; $ 11.402.793 
5582;GC6139;MODA UNIVERSO 2026 1;1.088;1.034;26/03/2026;No;0;1034;OLIVEROS FIGUEREDO OSMAR IBAN;26-mar-26;17-abr-26;CONFECCION;0;1.034;CAMISETAS;BOGOTA;HOMBRE;NA; $ 22.990 ; $ 11.054 ; $ 9.771 ; $ 11.031.849 
5583;GC6139;MODA UNIVERSO 2026 1;1.034;1.023;26/03/2026;No;0;1023;AGUDELO REY DIANA PATRICIA;26-mar-26;17-abr-26;CONFECCION;0;1.023;CAMISETAS;BOGOTA;HOMBRE;NA; $ 22.990 ; $ 11.054 ; $ 9.771 ; $ 10.914.489 
5584;806571;MODA UNIVERSO 2026 1;360;360;24/03/2026;No;0;360;CUERVO CASTRO YESSIKA CAROLINA;30-mar-26;27-abr-26;CONFECCION;0;360;BLUSAS;BASICO;DAMA;NA; $ 26.990 ; $ 10.944 ; $ 9.675 ; $ 3.802.788 
5585;MB7505;MODA UNIVERSO 2026 1;200;195;31/03/2026;No;0;195;GONZALEZ ARAGON TATIANA;14-abr-26;28-abr-26;RESORTADO;0;195;CAMISERAS;MODAFRESCA;DAMA;NA; $ 49.990 ; $ 22.219 ; $ 19.641 ; $ 4.181.892 
5586;MF5273;MODA UNIVERSO 2026 1;204;204;30/03/2026;No;0;0;;;;;0;204;FALDAS;MODAFRESCA;DAMA;NA; $ 44.990 ; $ 20.417 ; $ 18.049 ; $ 4.020.146 
5589;MB7523;MODA UNIVERSO 2026 1;204;174;06/04/2026;No;0;174;GONZALEZ ARAGON TATIANA;14-abr-26;21-abr-26;RESORTADO;0;174;BLUSAS;MODAFRESCA;DAMA;NA; $ 34.990 ; $ 12.115 ; $ 10.709 ; $ 2.034.617 
5590;700825;MODA UNIVERSO 2026 1;204;0;;No;0;0;;;;;0;0;PANTALONES;BASICO;DAMA;NA; $ 79.990 ; $ 36.728 ; $ 32.467 ; $ -   
5592;120375;MODA UNIVERSO 2026 1;300;285;01/04/2026;No;0;0;;;;;0;285;FALDAS;BASICO;DAMA;NA; $ 59.990 ; $ 23.647 ; $ 20.904 ; $ 6.504.869 
5593;120376;MODA UNIVERSO 2026 1;310;315;31/03/2026;No;0;0;;;;;0;315;FALDA SHORT;BASICO;DAMA;NA; $ 49.990 ; $ 17.246 ; $ 15.245 ; $ 5.243.396 
5594;MB7560;MODA UNIVERSO 2026 1;408;424;01/04/2026;Ok;424;0;;;;;0;424;BLUSAS;MODAFRESCA;DAMA;NA; $ 26.990 ; $ 11.569 ; $ 10.227 ; $ 4.734.554 
5595;700827;MODA UNIVERSO 2026 1;220;272;01/04/2026;No;0;0;;;;;0;272;PANTALONES;BASICO;DAMA;NA; $ 94.990 ; $ 40.910 ; $ 36.165 ; $ 10.740.328 
5596;MD0418;MODA UNIVERSO 2026 1;210;214;08/04/2026;No;0;0;;;;;0;214;BODYS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 24.233 ; $ 21.422 ; $ 5.005.396 
5597;MB7561;MODA UNIVERSO 2026 1;210;200;08/04/2026;No;0;0;;;;;0;200;BLUSAS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 25.297 ; $ 22.363 ; $ 4.883.360 
5598;806583;MODA UNIVERSO 2026 1;208;216;06/04/2026;No;0;216;GAVIRIA VARGAS LEYDY JOHANA;13-abr-26;08-may-26;CONFECCION;0;216;BLUSAS;BASICO;DAMA;NA; $ 52.990 ; $ 21.433 ; $ 18.946 ; $ 4.468.370 
5599;MB7529;MODA UNIVERSO 2026 1;210;222;01/04/2026;No;0;222;IBARRA BARONA JUAN CARLOS;13-abr-26;08-may-26;CONFECCION;0;222;BLUSAS;MODAFRESCA;DAMA;NA; $ 37.990 ; $ 15.408 ; $ 13.620 ; $ 3.301.495 
5600;MS0423;MODA UNIVERSO 2026 1;210;208;10/04/2026;No;0;0;;;;;0;208;SHORT;MODAFRESCA;DAMA;NA; $ 36.990 ; $ 16.641 ; $ 14.710 ; $ 3.340.834 
5601;MB7549;MODA UNIVERSO 2026 1;210;208;10/04/2026;Ok;208;0;;;;;0;208;CAMISETAS;MODAFRESCA;DAMA;NA; $ 38.990 ; $ 17.886 ; $ 15.811 ; $ 3.590.808 
5602;MB7528;MODA UNIVERSO 2026 1;200;210;08/04/2026;No;0;210;CRIOLLO MOJANA NATALI;13-abr-26;11-may-26;CONFECCION;0;210;BLUSAS;MODAFRESCA;DAMA;NA; $ 46.990 ; $ 19.068 ; $ 16.856 ; $ 3.864.924 
5603;MB7717;MODA UNIVERSO 2026 1;300;290;31/03/2026;No;0;290;PERDOMO NOSCUE OLGA LUCIA;13-abr-26;30-abr-26;CONFECCION;0;290;BLUSAS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 25.207 ; $ 22.283 ; $ 7.055.642 
5604;MP3777;MODA UNIVERSO 2025;336;313;01/04/2026;Ok;313;0;;;;;0;313;PANTALONES;MODAFRESCA;DAMA;PUNTO; $ 49.900 ; $ 22.121 ; $ 19.555 ; $ 6.682.926 
5605;MD0477;LINEA UNIVERSO;420;426;14/04/2026;No;0;0;;;;;0;426;BODYS;MODAFRESCA;DAMA;PUNTO; $ 39.900 ; $ 16.028 ; $ 14.169 ; $ 6.590.348 
5608;301125;MODA UNIVERSO 2025;300;265;08/04/2026;Ok;265;0;;;;;0;265;VESTIDOS;BASICO;DAMA;PLANO; $ 59.990 ; $ 25.129 ; $ 22.214 ; $ 6.427.443 
5609;MB6834;LINEA UNIVERSO;264;264;26/03/2026;No;0;264;FILIGRANA YATACUE DERLIN;27-mar-26;29-may-26;CONFECCION;0;264;BLUSAS;MODAFRESCA;DAMA;PLANO; $ 74.990 ; $ 34.381 ; $ 30.393 ; $ 8.760.734 
5611;U22857;LINEA UNIVERSO;434;434;26/03/2026;No;0;235;RIVERA JARA RODRIGO;27-mar-26;26-may-26;CONFECCION;0;434;BERMUDAS;URBANO;HOMBRE;NA; $ 52.900 ; $ 22.968 ; $ 20.304 ; $ 9.621.259 
5612;MP3601;LINEA UNIVERSO;249;249;26/03/2026;No;0;249;RIVERA JARA RODRIGO;27-mar-26;26-may-26;CONFECCION;0;249;PANTALONES;MODAFRESCA;DAMA;NA; $ 79.900 ; $ 35.874 ; $ 31.712 ; $ 8.621.725 
5613;700789;FIN DE AÑO;264;264;26/03/2026;No;0;264;RIVERA JARA RODRIGO;27-mar-26;26-may-26;CONFECCION;0;264;PANTALONES;BASICO;DAMA;NA; $ 72.900 ; $ 34.537 ; $ 30.531 ; $ 8.800.493 
5614;MP3746;FIN DE AÑO;237;237;26/03/2026;No;0;0;;;;;237;0;PANTALONES;MODAFRESCA;DAMA;NA; $ 59.900 ; $ 26.274 ; $ 23.226 ; $ -   
5615;MP3741;FIN DE AÑO;242;242;26/03/2026;No;0;242;RIVERA JARA RODRIGO;27-mar-26;26-may-26;CONFECCION;0;242;PANTALONES;MODAFRESCA;DAMA;NA; $ 74.900 ; $ 36.637 ; $ 32.387 ; $ 8.557.604 
5617;D21480;MODA UNIVERSO 2026 1;520;607;31/03/2026;No;0;607;OLIVEROS FIGUEREDO OSMAR IBAN;10-abr-26;30-abr-26;CONFECCION;0;607;BERMUDAS;BOGOTA;HOMBRE;NA; $ 35.990 ; $ 14.430 ; $ 12.756 ; $ 8.454.175 
5618;D21480;MODA UNIVERSO 2026 1;510;589;01/04/2026;No;0;589;OLIVEROS FIGUEREDO OSMAR IBAN;10-abr-26;30-abr-26;CONFECCION;0;589;BERMUDAS;BOGOTA;HOMBRE;NA; $ 35.990 ; $ 14.430 ; $ 12.756 ; $ 8.203.474 
5619;MB7063;MODA UNIVERSO 2026 1;315;315;26/03/2026;No;0;315;GOMEZ LONDOÑO PAULA ANDREA;27-mar-26;29-may-26;CONFECCION;0;315;BLUSAS;MODAFRESCA;DAMA;PLANO; $ 61.900 ; $ 27.747 ; $ 24.528 ; $ 8.436.110 
5620;140452;MODA UNIVERSO 2026 1;268;268;26/03/2026;No;0;268;LARGO GRAJALES EMILSE;27-mar-26;26-may-26;CONFECCION;0;268;JARDINERAS, BRAGAS,;BASICO;DAMA;PLANO; $ 59.900 ; $ 26.485 ; $ 23.413 ; $ 6.850.991 
5621;P12996;MODA UNIVERSO 2026 1;480;477;08/04/2026;No;0;0;;;;;0;477;JEANS;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5622;P12996;MODA UNIVERSO 2026 1;462;467;10/04/2026;No;0;0;;;;;0;467;JEANS;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5624;P12997;MODA UNIVERSO 2026 1;480;510;01/04/2026;No;0;510;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;510;JEANS;ESPECIALES;DAMA;NA; $ 89.990 ; $ 45.912 ; $ 40.652 ; $ 22.610.340 
5625;P12997;MODA UNIVERSO 2026 1;504;497;01/04/2026;No;0;497;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;497;JEANS;ESPECIALES;DAMA;NA; $ 89.990 ; $ 45.912 ; $ 40.652 ; $ 22.033.998 
5626;MP3777;MODA UNIVERSO 2025;352;0;;No;0;0;;;;;0;0;PANTALONES;MODAFRESCA;DAMA;PUNTO; $ 49.900 ; $ 22.121 ; $ 19.555 ; $ -   
5628;MP3424;LINEA UNIVERSO;555;452;07/04/2026;No;0;0;;;;;0;452;PANTALONES;MODAFRESCA;DAMA;PLANO; $ 44.990 ; $ 19.229 ; $ 16.998 ; $ 8.388.984 
5629;MP3423;LINEA UNIVERSO;480;595;01/04/2026;No;0;0;;;;;0;595;PANTALONES;MODAFRESCA;DAMA;PLANO; $ 44.990 ; $ 19.569 ; $ 17.299 ; $ 11.238.360 
5630;D20543;LINEA UNIVERSO;564;516;07/04/2026;No;0;0;;;;;0;516;SUDADERA;DEPORTIVO;HOMBRE;PLANO; $ 49.990 ; $ 18.792 ; $ 16.613 ; $ 9.359.363 
5631;D20543;LINEA UNIVERSO;522;468;06/04/2026;Ok;468;0;;;;;0;468;SUDADERA;DEPORTIVO;HOMBRE;PLANO; $ 49.990 ; $ 18.792 ; $ 16.613 ; $ 8.488.724 
5634;S11164;MODA UNIVERSO 2026 1;756;740;07/04/2026;No;0;0;;;;;0;740;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5635;S11165;MODA UNIVERSO 2026 1;693;689;08/04/2026;No;0;0;;;;;0;689;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5636;S11166;MODA UNIVERSO 2026 1;765;757;06/04/2026;No;0;0;;;;;0;757;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5637;MB7504;MODA UNIVERSO 2026 1;204;228;07/04/2026;No;0;228;MARTINEZ BADOS OVEIMAR;13-abr-26;17-abr-26;RESORTADO;0;228;BLUSAS;MODAFRESCA;DAMA;NA; $ 37.990 ; $ 15.160 ; $ 13.401 ; $ 3.336.164 
5638;IC0064;LINEA UNIVERSO;546;624;06/04/2026;No;0;0;;;;;0;624;PIJAMAS;INTIMA;DAMA;PLANO; $ 39.990 ; $ 16.494 ; $ 14.580 ; $ 9.933.955 
5639;806577;MODA UNIVERSO 2026 1;205;230;06/04/2026;No;0;230;MARTINEZ BADOS OVEIMAR;13-abr-26;22-abr-26;RESORTADO;0;230;BLUSAS;BASICO;DAMA;NA; $ 49.990 ; $ 19.463 ; $ 17.205 ; $ 4.320.688 
5640;MC8423;MODA UNIVERSO 2026 1;210;191;06/04/2026;No;0;191;MERA EMILIA;14-abr-26;04-may-26;CONFECCION;0;191;CONJUNTOS;MODAFRESCA;DAMA;NA; $ 39.990 ; $ 18.145 ; $ 16.041 ; $ 3.345.136 
5641;IC0085;MODA UNIVERSO 2025;287;0;;No;0;0;;;;;0;0;PIJAMAS;INTIMA;DAMA;PLANO; $ 42.900 ; $ 12.155 ; $ 10.745 ; $ -   
5642;UN0999;MODA UNIVERSO 2026 1;208;165;10/04/2026;No;0;0;;;;;0;165;CONJUNTOS;URBANO;NIÑO;NA; $ 79.990 ; $ 36.827 ; $ 32.555 ; $ 5.864.991 
5643;600858;LINEA UNIVERSO;145;145;01/04/2026;No;0;0;;;;;0;145;SHORT;BASICO;DAMA;PUNTO; $ 19.900 ; $ 9.357 ; $ 8.272 ; $ 1.309.568 
5644;MB7921;MODA UNIVERSO 2026 1;220;215;08/04/2026;Ok;215;215;GONZALEZ ARAGON TATIANA;15-abr-26;30-abr-26;RESORTADO;0;215;BLUSAS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 23.617 ; $ 20.878 ; $ 4.900.990 
5645;MB7662;MODA UNIVERSO 2026 1;425;410;06/04/2026;No;0;410;MENDEZ CANO MARIA EDENY;14-abr-26;07-may-26;CONFECCION;0;410;BLUSAS;MODAFRESCA;DAMA;NA; $ 44.990 ; $ 17.989 ; $ 15.902 ; $ 7.118.789 
5646;MB7680;MODA UNIVERSO 2026 1;306;0;;No;0;0;;;;;0;0;BLUSAS;MODAFRESCA;DAMA;NA; $ 59.990 ; $ 25.356 ; $ 22.415 ; $ -   
5647;BOX301;LINEA UNIVERSO;100;100;01/04/2026;Ok;100;0;;;;;0;100;BOXER;INTIMA;NIÑO;PUNTO; $ 12.900 ; $ 6.869 ; $ 7.070 ; $ 692.930 
5648;700103;LINEA UNIVERSO;406;397;10/04/2026;Ok;397;0;;;;;0;397;PANTALONES;BASICO;DAMA;PUNTO; $ 37.900 ; $ 22.063 ; $ 19.504 ; $ 8.454.234 
5649;700103;LINEA UNIVERSO;406;386;14/04/2026;No;0;0;;;;;0;386;PANTALONES;BASICO;DAMA;PUNTO; $ 37.900 ; $ 22.063 ; $ 19.504 ; $ 8.219.986 
5652;D11200;LINEA UNIVERSO;560;420;01/04/2026;Ok;420;0;;;;;0;420;BLUSAS;DEPORTIVO;DAMA;PUNTO; $ 22.990 ; $ 9.257 ; $ 8.183 ; $ 3.752.616 
5653;D11200;LINEA UNIVERSO;560;497;01/04/2026;No;0;497;FLOY  ELIZABETH;14-abr-26;27-abr-26;CONFECCION;0;497;BLUSAS;DEPORTIVO;DAMA;PUNTO; $ 22.990 ; $ 9.257 ; $ 8.183 ; $ 4.440.596 
5654;600858;LINEA UNIVERSO;460;360;10/04/2026;No;0;0;;;;;0;360;SHORT;BASICO;DAMA;PUNTO; $ 19.900 ; $ 9.357 ; $ 8.272 ; $ 3.251.340 
5655;600858;LINEA UNIVERSO;410;0;;No;0;0;;;;;0;0;SHORT;BASICO;DAMA;PUNTO; $ 19.900 ; $ 9.357 ; $ 8.272 ; $ -   
5656;GB0050;LINEA UNIVERSO;600;722;07/04/2026;Ok;722;722;PARRA GONZALES JENNY ALEJANDRA;10-abr-26;30-abr-26;CONFECCION;0;722;BLUSAS;BOGOTA;DAMA;PUNTO; $ 19.900 ; $ 7.900 ; $ 6.984 ; $ 5.505.394 
5657;GB0050;LINEA UNIVERSO;610;613;07/04/2026;Ok;613;613;CESPEDES PITA LUZ FAYZULLY;10-abr-26;30-abr-26;CONFECCION;0;613;BLUSAS;BOGOTA;DAMA;PUNTO; $ 19.900 ; $ 7.900 ; $ 6.984 ; $ 4.674.248 
5660;806598;MODA UNIVERSO 2026 1;400;520;10/04/2026;Ok;520;0;;;;;0;520;BLUSAS;BASICO;DAMA;NA; $ 19.990 ; $ 7.947 ; $ 7.025 ; $ 3.988.608 
5661;806598;MODA UNIVERSO 2026 1;430;510;10/04/2026;Ok;510;0;;;;;0;510;BLUSAS;BASICO;DAMA;NA; $ 19.990 ; $ 7.947 ; $ 7.025 ; $ 3.911.904 
5662;MB7719;MODA UNIVERSO 2026 1;235;395;10/04/2026;Ok;395;0;;;;;0;395;BLUSAS;MODAFRESCA;DAMA;NA; $ 39.990 ; $ 16.356 ; $ 14.459 ; $ 6.235.826 
5664;D21481;MODA UNIVERSO 2026 1;392;444;07/04/2026;No;0;444;POWERTEX S.A.S;10-abr-26;30-abr-26;CONFECCION;0;444;CONJUNTOS;BOGOTA;HOMBRE;NA; $ 52.990 ; $ 21.779 ; $ 19.252 ; $ 9.333.280 
5665;D21481;MODA UNIVERSO 2026 1;392;448;07/04/2026;No;0;448;POWERTEX S.A.S;10-abr-26;30-abr-26;CONFECCION;0;448;CONJUNTOS;BOGOTA;HOMBRE;NA; $ 52.990 ; $ 21.779 ; $ 19.252 ; $ 9.417.363 
5667;U24628;MODA UNIVERSO 2026 1;315;0;;No;0;0;;;;;0;0;BERMUDAS;URBANO;DAMA;NA; $ 49.990 ; $ 22.443 ; $ 19.840 ; $ -   
5668;GC6140;MODA UNIVERSO 2026 1;480;475;07/04/2026;No;0;475;AGUDELO REY DIANA PATRICIA;10-abr-26;30-abr-26;CONFECCION;0;475;BUSOS;BOGOTA;HOMBRE;NA; $ 29.990 ; $ 14.437 ; $ 12.783 ; $ 6.621.880 
5669;GC6140;MODA UNIVERSO 2026 1;560;555;08/04/2026;Ok;555;555;AGUDELO REY DIANA PATRICIA;10-abr-26;30-abr-26;CONFECCION;0;555;BUSOS;BOGOTA;HOMBRE;NA; $ 29.990 ; $ 14.437 ; $ 12.783 ; $ 7.737.144 
5671;GC6140;MODA UNIVERSO 2026 1;560;567;07/04/2026;No;0;567;AGUDELO REY DIANA PATRICIA;10-abr-26;30-abr-26;CONFECCION;0;567;BUSOS;BOGOTA;HOMBRE;NA; $ 29.990 ; $ 14.437 ; $ 12.783 ; $ 7.904.434 
5672;GC6140;MODA UNIVERSO 2026 1;560;552;10/04/2026;No;0;0;;;;;0;552;BUSOS;BOGOTA;HOMBRE;NA; $ 29.990 ; $ 14.437 ; $ 12.783 ; $ 7.695.322 
5673;ME1273;MODA UNIVERSO 2026 1;405;370;08/04/2026;No;0;0;;;;;0;370;ENTERIZO;MODAFRESCA;DAMA;NA; $ 69.990 ; $ 28.854 ; $ 25.507 ; $ 10.304.463 
5675;ME1270;MODA UNIVERSO 2026 1;300;330;08/04/2026;No;0;0;;;;;0;330;ENTERIZO;MODAFRESCA;DAMA;NA; $ 56.990 ; $ 23.861 ; $ 21.093 ; $ 7.600.098 
5678;GS6297;MODA UNIVERSO 2026 1;720;720;31/03/2026;No;0;720;SEPTEMBER-FIVE S.A.S;06-abr-26;29-may-26;CONFECCION;0;720;CAMISAS;BOGOTA;HOMBRE;NA; $ - ; $ -   ; $ -   ; $ -   
5679;GS6297;MODA UNIVERSO 2026 1;189;189;31/03/2026;No;0;189;SEPTEMBER-FIVE S.A.S;06-abr-26;29-may-26;CONFECCION;0;189;CAMISAS;BOGOTA;HOMBRE;NA; $ - ; $ -   ; $ -   ; $ -   
5680;GS6298;MODA UNIVERSO 2026 1;704;704;31/03/2026;No;0;704;SEPTEMBER-FIVE S.A.S;06-abr-26;29-may-26;CONFECCION;0;704;CAMISAS;BOGOTA;HOMBRE;NA; $ - ; $ -   ; $ -   ; $ -   
5681;GS6298;MODA UNIVERSO 2026 1;292;292;31/03/2026;No;0;292;SEPTEMBER-FIVE S.A.S;06-abr-26;29-may-26;CONFECCION;0;292;CAMISAS;BOGOTA;HOMBRE;NA; $ - ; $ -   ; $ -   ; $ -   
